"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LATITUDE","DEC_LONGITUDE","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECTION_RELATED","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROADWAY_CLEARED","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOTAL_UNITS","TOT_INJ_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","VULNERABLE_ROAD_USER_COUNT","VULNERABLE_ROAD_USER_DEATH_COUNT","VULNERABLE_ROAD_USER_SER_INJ_COUNT","WEATHER1","WEATHER2","WORKERS_PRES","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2021120956","1915","1","0","0","0","0","0","0","0","0","8","0","","67","12","2021","1","40.022789","-75.159023","1908","6","0","0","0","0","0","1","0","0","","0","0","0","19","3","1","","5","0","40 01:22.042","","0","75 09:32.483","8","0","0","0","67301","1","0","0","N","1","0","0","2","67301","0","","1.0","","1","N","N","N","0","","0","0","0","3","2","","1904","2","1","0","0","0","1","0","2","0","1","1","0","0","3","03","","N","","","","","","","","","",""
"2021123467","0046","2","0","0","0","0","0","0","0","0","4","0","","67","12","2021","2","40.011545","-75.108042","0045","6","0","0","1","1","0","0","0","0","","0","0","0","23","3","0","","1","0","40 00:41.562","","0","75 06:28.950","9","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","","1","N","N","N","0","","0","0","0","3","2","","2350","2","0","2","0","0","0","1","2","0","2","0","0","0","3","03","","N","","","","","","","","","",""
"2021126606","0040","1","0","0","0","0","0","0","0","0","1","0","","67","12","2021","7","40.042211","-75.126294","0022","6","0","0","0","0","0","1","0","0","","0","0","0","21","3","2","","1","0","40 02:31.958","","0","75 07:34.659","3","0","0","0","67301","0","0","0","N","0","0","0","4","67301","0","","1.0","","99","N","N","N","0","","2","0","1","3","2","","2132","2","2","0","0","0","0","0","2","0","2","0","0","0","99","","","N","","","","","","","","","",""
"2021087450","0600","1","0","0","0","0","0","0","0","0","2","0","","67","9","2021","2","39.996794","-75.103369","0430","6","0","0","0","0","0","0","0","0","","0","0","0","4","6","1","","1","0","39 59:48.460","","0","75 06:12.128","4","0","0","0","67301","0","0","0","N","0","0","0","3","67301","1","","1.0","","9","N","N","N","0","","0","0","1","3","2","","418","2","1","0","0","0","0","0","2","0","2","0","0","0","7","04","","N","","","","","","","","","",""
"2021116407","1030","1","0","0","0","0","0","0","0","0","8","0","","67","11","2021","2","39.984194","-75.152838","1027","6","0","0","0","0","0","0","0","0","","0","0","0","8","1","1","","1","0","39 59:03.100","","0","75 09:10.215","8","0","0","0","67301","1","0","0","N","1","0","0","2","67505","0","","1.0","","1","N","N","N","0","","0","0","0","3","2","","853","2","1","1","0","0","1","0","2","0","1","1","0","0","3","03","","N","","","","","","","","","",""
"2021084815","0948","1","0","0","0","0","0","0","0","0","1","0","","67","9","2021","3","39.920585","-75.24143","0946","6","0","0","0","0","0","0","0","0","","0","0","0","9","1","2","","1","1","39 55:14.106","4","0","75 14:29.147","3","0","0","0","67301","0","0","0","N","0","0","0","3","67301","0","","1.0","1010.0","1","N","N","N","0","","2","0","0","3","2","N","940","2","2","2","0","0","0","0","2","0","2","0","0","0","3","03","","N","","","","","","","","","",""
"2021119672","2140","2","0","0","0","0","0","0","0","0","1","0","","67","12","2021","2","39.995328","-75.218326","2123","6","0","0","0","0","0","0","0","0","","0","0","0","18","3","1","","3","0","39 59:43.180","","0","75 13:05.974","4","0","0","0","67301","0","0","0","N","0","0","0","2","67301","1","","1.0","","1","N","N","N","0","","0","0","0","3","2","","1819","2","1","0","0","0","0","0","2","0","2","0","0","0","3","03","","N","","","","","","","","","",""
"2021127055","1721","3","0","0","0","0","0","0","0","0","1","0","","67","12","2021","6","40.009208","-75.066703","1702","6","0","0","0","0","0","0","0","0","","0","0","0","17","3","2","N","0","0","40 00:33.150","","0","75 04:00.130","3","0","0","0","67301","0","0","0","N","0","0","0","4","68K01","1","","1.0","","1","N","N","N","0","","1","0","0","0","0","","1700","3","2","0","0","0","0","0","2","0","3","0","0","0","3","","","N","","","","","","","","","",""
"2021116573","0816","1","0","0","0","0","0","0","0","0","4","0","","67","11","2021","3","40.048829","-75.11448","0816","6","0","0","0","0","0","0","0","0","","0","0","0","6","1","3","","2","0","40 02:55.783","","0","75 06:52.129","3","0","0","0","67301","0","0","0","N","0","0","0","3","67301","0","","1.0","","1","N","N","N","0","","3","0","1","3","3","","649","2","3","0","0","0","0","0","2","0","2","0","0","0","3","03","","N","","","","","","","","","",""
"2021127871","2012","1","0","0","0","0","0","0","0","0","7","0","","67","11","2021","7","39.885977","-75.210791","1959","6","0","0","0","0","0","0","0","0","","0","0","0","19","3","1","N","0","0","39 53:09.518","","0","75 12:38.847","8","0","0","0","67301","0","0","0","N","0","0","0","1","68K01","0","","4.0","","1","N","N","N","0","","0","0","0","0","0","","1958","1","1","0","0","0","1","0","2","0","1","0","0","0","3","","","N","","","","","","","","","",""
